drug_name,drug_id,drug_target,target_pathway,feature_name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,tissue_type,screening set
Erlotinib,1,EGFR,EGFR signaling,PIK3CA_mut,4,9,.045930296116514613,3.0190553520179426,3.049786364228781,,,.93123432554763785,-.030731012210838404,.49554563577426902,.72350210467047293,.9404473639925981,,,95.69166625040107,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,TP53_mut,9,4,.56240422428952508,2.9288701295244897,3.2911168801025967,,,.27284561507624788,-.36224675057810707,.71362367999559861,.40393812580835242,.36941814488635782,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA13,3,10,.66114996514539015,3.3660902656704543,2.9426027889119433,,,.29482101097255881,.42348747675851106,.49821630758853847,.6680527037491234,.33678798712970182,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA14,6,7,.63103608953144075,2.8251596322610251,3.224762984652092,,,.31161213855748837,-.39960335239106692,.80337517820461934,.44422165162312671,.28080489474391684,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA15,6,7,.45047812923316161,3.1980372908555754,2.9051535629996201,,,.41972131100924925,.29288372785595529,.46932771705467508,.76903329920956565,.4352758389401854,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA16,3,10,.036381307761645588,3.0216036954265593,3.0459487599851123,,,.94757185456534021,-.024345064558553009,.47256581453955143,.70545095245547007,.95691666250401064,,,95.69166625040107,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA17,3,10,2.1365972065847871,2.2541924832520479,3.2761721236374655,,,.12715220623874823,-1.0219796403854176,.73387840036414353,.39993712999478737,.0077942421063690445,,,13.250211580827376,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA18,5,8,1.0786819469126143,2.6544544352801482,3.2815033137162573,,,.16697383946521591,-.62704887843610901,.81608820448012631,.38787662212094964,.085075034474211692,,,48.209186202053296,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA22,3,10,.072862519844916249,3.077820373848084,3.0290837564586548,,,.89077268874955862,.048736617389429249,.44031202299939193,.70975139024443079,.91385895938868966,,,95.69166625040107,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA26,4,9,.50069876436086513,3.2653287705420206,2.9403315115514124,,,.33406602278130859,.32499725899060827,.4255584518069444,.71511878289465025,.42244767885436968,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA27,3,10,.20249556155539053,3.1441325161023599,3.0091901137823713,,,.70052182876645686,.13494240231998855,.42839094448327164,.70851132103383097,.76412286398499418,,,92.786347769606436,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA31,4,9,.56482643264702126,3.2921168465626196,2.9284256999867018,,,.2606311565699081,.36369114657591783,.37975549493803323,.71833328960558374,.36743660906926134,,,67.26990238166502,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA32,4,9,1.2609557798210449,3.5340545754257953,2.820897820491957,,,.01547759162520621,.71315675493383823,.25185564736773969,.64500485304657384,.059770056757498476,,,48.209186202053296,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA33,4,9,.93732973760394056,2.6473292339806394,3.2149979722453597,,,.32180495233755235,-.56766873826472031,.94721860158210636,.40971122336974169,.14709407846401984,,,62.514983347208428,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA39,3,10,.31549777544032387,3.2010832772175419,2.9921048854478167,,,.543250001857005,.20897839176972521,.4081650271853452,.70655464514107214,.64112915809359916,,,83.839966827624508,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA62,5,8,.32852342549022989,3.1736359385862554,2.9570148741499405,,,.51825108505216,.2166210644363149,.39226163880365028,.77155627719283526,.57603503871810469,,,81.604963818398176,BRCA,GDSC1
Erlotinib,1,EGFR,EGFR signaling,cnaBRCA63,3,10,.67570684458679442,3.3726418945816312,2.9406373002385906,,,.21381560590132556,.43200459434304062,.39001927965043037,.68248272557836853,.32671233838543895,,,67.26990238166502,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,PIK3CA_mut,4,8,.21965832033999266,-2.685133014812489,-2.1640965719594227,,,.82076634511708646,-.52103644285306627,4.1978161654859205,.69696792822323894,.7272764673625306,,,51.761111628337716,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,TP53_mut,9,3,.21802320068977746,-2.4672036698223225,-1.9494905355081456,,,.60053314484146314,-.51771313431417698,2.6342993472816234,.65952662995754352,.75038418092321679,,,51.761111628337716,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA13,3,9,.67654763171806809,-1.1843987242784071,-2.7222342735655682,,,.35633331402122798,1.5378355492871612,2.1513552198563031,2.3024852388160149,.33411509361051606,,,37.123899290057352,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA14,5,7,1.2213347149154357,-3.7575256771757268,-1.3236680355781003,,,.12971165261847581,-2.4338576415976263,2.837695171892157,1.1181733342935163,.063573054375119287,,,31.23183444325111,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA15,5,7,.61218559107440096,-3.1471886957302759,-1.759623022324851,,,.43145043770896452,-1.3875656734054249,3.5372709340039692,.46985146585465565,.32040301603998395,,,37.123899290057352,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA16,3,9,1.6216014598076061,-4.6390957197701779,-1.5706686084016448,,,.27735683331375555,-3.0684271113685329,3.6119815368418227,1.101825377851223,.035304845803812823,,,31.23183444325111,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA17,4,8,.19011102650214837,-2.0366621895693697,-2.4883319845809821,,,.6857718695574152,.45166979501161242,.90958987218795173,2.7765137315697341,.76259263935827382,,,51.761111628337716,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA18,6,6,.23368356744781865,-2.0611027691037047,-2.6144480033838513,,,.70051085802918434,.55334523428014659,.83465355856544876,3.2430686086533878,.69418211935482343,,,51.761111628337716,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA22,4,8,.87095651896188797,-3.6019243046354639,-1.7057009270479353,,,.35797613012961182,-1.8962233775875286,3.4590004847473117,1.2821180953810627,.18538287397521244,,,35.484901388882825,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA26,4,8,.81473607788354518,-3.5329512614626095,-1.7401874486343623,,,.38354442658021665,-1.7927638128282473,3.4723332478389546,1.3227303403416593,.21290940833329691,,,35.484901388882825,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA27,3,9,1.0544715734473562,-4.0262963877879523,-1.7749350523957199,,,.44060266402751469,-2.2513613353922324,4.0774147194095809,1.2416844095047761,.14479798386044979,,,35.484901388882825,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA31,4,8,.17867918591535123,-2.0546111632540462,-2.4793574977386439,,,.69226940236176393,.42474633448459764,.56358963095927228,2.8171739634335147,.77641667442506568,,,51.761111628337716,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA32,5,7,1.0845791546971304,-1.0345428951201563,-3.2686557370463651,,,.067305431853390996,2.2341128419262088,1.1757460628980685,2.4799838111481529,.093695503329753307,,,31.23183444325111,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA33,4,8,.50392790099318607,-1.5616258774241503,-2.7258501406535922,,,.2752050084025946,1.1642242632294419,.35088910132620504,2.7517645719652677,.4297453323982634,,,42.974533239826343,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA36,3,9,.67654763171806809,-1.1843987242784071,-2.7222342735655682,,,.35633331402122798,1.5378355492871612,2.1513552198563031,2.3024852388160149,.33411509361051606,,,37.123899290057352,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA39,3,9,.12658351027103587,-2.1115436638218443,-2.4131859603844226,,,.76070851680614282,.30164229656257824,.6760192678184539,2.6426915349543023,.85320573089832341,,,53.325358181145219,BRCA,GDSC1
Rapamycin,3,MTORC1,PI3K/MTOR signaling,cnaBRCA62,4,8,.069471164212327435,-2.4482673260186716,-2.2825294163563314,,,.87800598329263746,-.16573790966234014,.63763759574923651,2.8207466017281582,.91192225807595306,,,53.642485769173717,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,PIK3CA_mut,4,8,.8007837891859596,4.1129275259689297,3.044145063381817,,,.2708764337723884,1.0687824625871127,1.4907785807750489,1.2618687869146925,.22024739619196848,,,85.498559250226194,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,TP53_mut,9,3,.9423585392752003,3.7110426543037178,2.4684955740655972,,,.13494315214059177,1.2425470802381207,1.4001128930535178,.92282677322196582,.18786288194408715,,,85.498559250226194,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,cnaBRCA13,3,9,.18497131703769087,3.6000024790181961,3.3338736859861853,,,.81445706193582978,.26612879303201087,1.6146575754057739,1.3913114920716279,.78708060050522433,,,96.770256727491343,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,cnaBRCA14,6,6,.44773486890832653,3.0863824592598186,3.714429309228557,,,.45605278811730865,-.62804684996873839,1.3609179827871052,1.4433126758497679,.45599231600120638,,,85.498559250226194,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,cnaBRCA15,6,6,.073954212624582405,3.3470441850137664,3.45376758347461,,,.90083030351715399,-.10672339846084355,1.6413219653203017,1.2129069294405925,.90061520403880613,,,96.770256727491343,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,cnaBRCA16,3,9,.21577751756354382,3.1678875611068249,3.4779119919566419,,,.81350483051432476,-.31002443084981701,1.9224383797248985,1.2870400628923548,.75285811863285523,,,96.770256727491343,BRCA,GDSC1
Sunitinib,5,PDGFR, KIT, VEGFR, FLT3, RET, CSF1R,RTK signaling,cnaBRCA17,3,9,.027676639709517937,3.4303830056360298,3.3904135104469071,,,.96351635920377476,.039969495189122739,1.1387220482502289,1.510902230473836,.96770256727491344,,,96.770256727491343,BRCA,GDSC1
