drug_name,drug_id,drug_target,target_pathway,feature_name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,tissue_type,screening set
IC-87114,236,PI3Kdelta,PI3K/MTOR signaling,cnaPRAD7,3,3,.77954995438089125,5.3334217955306968,4.9153844138863994,,,.39735280664831685,.41803738164429749,.45897051581587467,.60372545310901482,.47903171935190375,,.8526257436284278,0,PRAD,GDSC1
ACY-1215,264,HDAC6,Chromatin histone acetylation,cnaPRAD7,3,3,.7772700840063077,1.1331480803494123,1.4583164944648181,,,.39502857850124928,-.32516841411540587,.42004381691712361,.41664277220505019,.29487907400160746,,.54563805115948816,0,PRAD,GDSC1
JNJ38877605,284,MET,RTK signaling,cnaPRAD7,3,3,.044833706743027217,4.3238443660163108,4.3595881747313152,,,.95885418545675516,-.035743808715004377,.77072421241864941,.82292708548778937,.78110513070020315,,.3799652804969374,99.928871980476643,PRAD,GDSC1
SU11274,285,MET,RTK signaling,cnaPRAD7,3,3,.44042504053117054,3.4843611252125992,3.7453781351743385,,,.63820790994732524,-.26101700996173927,.20488941122020563,.81270141015307662,.84937827360972606,,.4007310042497505,0,PRAD,GDSC1
KIN001-042,289,GSK3B,WNT signaling,cnaPRAD7,3,3,.53224134351264107,4.3855394251888127,4.6848273924612736,,,.57883395772908597,-.29928796727246088,.78632960236397442,.11867995833465197,.68042595212016022,,.69881122418542041,0,PRAD,GDSC1
WYE-125132,317,mTOR,PI3K/MTOR signaling,cnaPRAD7,3,3,.41207261144104723,-.49789548057600141,-.95158725824939727,,,.65114639924735762,.45369177767339586,1.4209781442294447,.63656996726910442,.75580332518671445,,.74366291721795585,0,PRAD,GDSC1
Tenovin-6,342,SIRT,Chromatin histone acetylation,cnaPRAD7,3,3,.26734234988346867,2.358531232336126,2.2123085816011367,,,.76849026146011223,.1462226507349893,.26740083667693126,.72581221528020645,.96440587112200438,,.33593084525417571,96.440587112200433,PRAD,GDSC1
AT7867,356,AKT,PI3K/MTOR signaling,cnaPRAD7,3,3,.47604163284404138,2.9930556398776873,2.5095497428933675,,,.59121509524469062,.48350589698431978,1.0370246735690287,.99387673542316435,.63934328429008624,,.96357452357347695,0,PRAD,GDSC1
CI-1033,362,EGFR, ERBB2, ERBB4,RTK signaling,cnaPRAD7,3,3,1.030557354913336,2.4954693801565107,2.0470507864060896,,,.28519156511675242,.44841859375042104,.33880553998498775,.51368649878679229,.30034810148400493,,.019013694268799428,0,PRAD,GDSC1
PF-00299804,363,EGFR, ERBB2, ERBB4,RTK signaling,cnaPRAD7,3,3,.57839316762247972,2.2612068951471596,2.3719578356636255,,,.51791346451095233,-.11075094051646595,.18621316597925167,.19660652247802296,.40693062471593244,,.56944309424622319,0,PRAD,GDSC1
TWS119,366,GSK3,WNT signaling,cnaPRAD7,3,3,.34542337032689574,2.9185900636812447,3.1366532731946979,,,.69777216749226767,-.21806320951345315,.75476553749425934,.47685387516310224,.36369985333526073,,.23916688126272592,72.739970667052148,PRAD,GDSC1
Pilaralisib,372,PI3K,PI3K/MTOR signaling,cnaPRAD7,3,3,1.7591027495532507,3.6187588974690321,3.1608134697222874,,,.10775498371077341,.45794542774674474,.3066277724803369,.20376890517834498,.12180074368749365,,.99986982134035307,0,PRAD,GDSC1
GSK1059615,374,PI3K,PI3K/MTOR signaling,cnaPRAD7,3,3,.079863882984669496,.60220249564398209,.69537349155899753,,,.92784446278121202,-.093170995915015431,1.423852875111381,.83346187744974243,.99336120847825127,,.79577005309549209,99.336120847825129,PRAD,GDSC1
Voxtalisib,375,PI3K (class 1), DNAPK, MTOR,PI3K/MTOR signaling,cnaPRAD7,3,3,.049305471420368487,4.4404558599022774,4.396553915166681,,,.95488510374602109,.043901944735596388,.98601440011877961,.78321479858253484,.043713600763868515,,.0018358012857546319,0,PRAD,GDSC1
Brivanib, BMS-540215,376,VEGFR, PDGFR,RTK signaling,cnaPRAD7,3,3,.31285027316696529,3.9977072915233625,3.8554768931180186,,,.73753568822966065,.14223039840534391,.63815404584365398,.078307693991067462,.98070414909167425,,.28592664325927486,98.070414909167425,PRAD,GDSC1
BIBF-1120,380,VEGFR, PDGFR, FGFR,RTK signaling,cnaPRAD7,3,3,.34543008466854491,2.611465022081394,3.0097412561222252,,,.69554274233637314,-.39827623404083123,.98257280918638112,1.301271125800527,.60844291492868996,,.68509147343403032,0,PRAD,GDSC1
AST-1306,381,EGFR, ERBB4,RTK signaling,cnaPRAD7,3,3,.54876836712070276,2.0029929078366648,2.3384495316339353,,,.56880662607094246,-.33545662379727048,.11062479184368143,.85738738165216555,.34419844909248132,,.39751074190951519,0,PRAD,GDSC1
Apitolisib,382,mTOR, PI3K,PI3K/MTOR signaling,cnaPRAD7,3,3,.78375730164441881,.50344804004765797,-.22714797301424539,,,.43586939576544131,.73059601306190336,1.3085589361000285,.15987476164722175,.34039477359301434,,.68306772820848261,0,PRAD,GDSC1
LIMK1 inhibitor BMS4,406,LIMK1,Cytoskeleton,cnaPRAD7,3,3,1.0979186890294137,4.340698635674598,5.2031319092520967,,,.27547867510410856,-.86243327357749866,.47650546098456542,1.0035013544738005,.35137923735177135,,.72923543703417404,0,PRAD,GDSC1
kb NB 142-70,407,PKD,Other, kinases,cnaPRAD7,3,3,.77215119312712543,2.8083843179766057,2.4352042286907603,,,.40351357508986385,.37318008928584545,.39316564448366642,.55908594866021644,.28596725460095562,,.51606657378373233,0,PRAD,GDSC1
Sphingosine Kinase 1 Inhibitor II,408,Sphingosine Kinase,Other, kinases,cnaPRAD7,3,3,.39824628426454772,3.3749856365701647,3.5186596152101082,,,.65140128807582154,-.14367397863994347,.37460115730202392,.34638003308246057,.46503285313377979,,.45144741319613335,0,PRAD,GDSC1
eEF2K Inhibitor, A-484954,409,eEF2K,Other, kinases,cnaPRAD7,3,3,.84584626615198366,5.0377944115869377,5.6146924224457457,,,.3939172787126804,-.57689801085880799,.92159886994020568,.2846103403549709,.28604000363253657,,.60572216523461919,0,PRAD,GDSC1
MetAP2 Inhibitor, A832234,410,MetAP2,Other,cnaPRAD7,3,3,.16940789817124169,2.4552171473868847,2.3550964559221286,,,.84918285195599019,.10012069146475611,.3730915809405323,.74791267866710154,.90361035146642954,,.87732195579180894,90.361035146642948,PRAD,GDSC1
Venotoclax,412,BCL-2 selective,Apoptosis regulation,cnaPRAD7,3,3,.11510059779218655,1.1696384543359664,1.150557180956473,,,.89495292425328676,.019081273379493391,.18116844104891602,.14880663695310933,.97693796945418077,,.67219008494429233,97.693796945418072,PRAD,GDSC1
